,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Zigzag,asm,normal,64,4096,29020.0
1,Zigzag,asm,normal,64,4096,28776.0
2,Zigzag,asm,normal,64,4096,28944.0
3,Zigzag,asm,normal,64,4096,28656.0
4,Zigzag,asm,normal,64,4096,29676.0
5,Zigzag,asm,normal,64,4096,28552.0
6,Zigzag,asm,normal,64,4096,28788.0
7,Zigzag,asm,normal,64,4096,28684.0
8,Zigzag,asm,normal,64,4096,28020.0
9,Zigzag,asm,normal,64,4096,28512.0
10,Zigzag,asm,normal,64,4096,29060.0
11,Zigzag,asm,normal,64,4096,28864.0
12,Zigzag,asm,normal,64,4096,29112.0
13,Zigzag,asm,normal,64,4096,28328.0
14,Zigzag,asm,normal,64,4096,28600.0
15,Zigzag,asm,normal,64,4096,28656.0
16,Zigzag,asm,normal,64,4096,28880.0
17,Zigzag,asm,normal,64,4096,28556.0
18,Zigzag,asm,normal,64,4096,28736.0
19,Zigzag,asm,normal,64,4096,28868.0
20,Zigzag,asm,normal,64,4096,28620.0
21,Zigzag,asm,normal,64,4096,28568.0
22,Zigzag,asm,normal,64,4096,28720.0
23,Zigzag,asm,normal,64,4096,28832.0
24,Zigzag,asm,normal,64,4096,28968.0
25,Zigzag,asm,normal,64,4096,28928.0
26,Zigzag,asm,normal,64,4096,28624.0
27,Zigzag,asm,normal,64,4096,28928.0
28,Zigzag,asm,normal,64,4096,28908.0
29,Zigzag,asm,normal,64,4096,28900.0
30,Zigzag,asm,normal,128,16384,113292.0
31,Zigzag,asm,normal,128,16384,114656.0
32,Zigzag,asm,normal,128,16384,112428.0
33,Zigzag,asm,normal,128,16384,112540.0
34,Zigzag,asm,normal,128,16384,116056.0
35,Zigzag,asm,normal,128,16384,111516.0
36,Zigzag,asm,normal,128,16384,119228.0
37,Zigzag,asm,normal,128,16384,112124.0
38,Zigzag,asm,normal,128,16384,112288.0
39,Zigzag,asm,normal,128,16384,9191252.0
40,Zigzag,asm,normal,128,16384,111632.0
41,Zigzag,asm,normal,128,16384,111708.0
42,Zigzag,asm,normal,128,16384,113340.0
43,Zigzag,asm,normal,128,16384,108363.0
