,Descubrir,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Descubrir,c,normal,64,4096,231292.0
1,Descubrir,c,normal,64,4096,233024.0
2,Descubrir,c,normal,64,4096,231740.0
3,Descubrir,c,normal,64,4096,232084.0
4,Descubrir,c,normal,64,4096,457348.0
5,Descubrir,c,normal,64,4096,231120.0
6,Descubrir,c,normal,64,4096,231900.0
7,Descubrir,c,normal,64,4096,231280.0
8,Descubrir,c,normal,64,4096,230500.0
9,Descubrir,c,normal,64,4096,231116.0
10,Descubrir,c,normal,64,4096,230308.0
11,Descubrir,c,normal,64,4096,230428.0
12,Descubrir,c,normal,64,4096,232072.0
13,Descubrir,c,normal,64,4096,233052.0
14,Descubrir,c,normal,64,4096,231400.0
15,Descubrir,c,normal,64,4096,230600.0
16,Descubrir,c,normal,64,4096,230612.0
17,Descubrir,c,normal,64,4096,229984.0
18,Descubrir,c,normal,64,4096,230188.0
19,Descubrir,c,normal,64,4096,230648.0
20,Descubrir,c,normal,64,4096,231148.0
21,Descubrir,c,normal,64,4096,230504.0
22,Descubrir,c,normal,64,4096,231024.0
23,Descubrir,c,normal,64,4096,230640.0
24,Descubrir,c,normal,64,4096,231104.0
25,Descubrir,c,normal,64,4096,231352.0
26,Descubrir,c,normal,64,4096,230852.0
27,Descubrir,c,normal,64,4096,232124.0
28,Descubrir,c,normal,64,4096,230972.0
29,Descubrir,c,normal,64,4096,271688.0
30,Descubrir,c,normal,128,16384,922668.0
31,Descubrir,c,normal,128,16384,967176.0
32,Descubrir,c,normal,128,16384,924096.0
33,Descubrir,c,normal,128,16384,920700.0
34,Descubrir,c,normal,128,16384,966216.0
35,Descubrir,c,normal,128,16384,924408.0
36,Descubrir,c,normal,128,16384,922876.0
37,Descubrir,c,normal,128,16384,1124516.0
38,Descubrir,c,normal,128,16384,966904.0
39,Descubrir,c,normal,128,16384,920272.0
40,Descubrir,c,normal,128,16384,920844.0
41,Descubrir,c,normal,128,16384,967524.0
42,Descubrir,c,normal,128,16384,969052.0
43,Descubrir,c,normal,128,16384,922492.0
44,Descubrir,c,normal,128,16384,923556.0
45,Descubrir,c,normal,128,16384,922168.0
46,Descubrir,c,normal,128,16384,920328.0
47,Descubrir,c,normal,128,16384,1041312.0
48,Descubrir,c,normal,128,16384,921312.0
49,Descubrir,c,normal,128,16384,921244.0
50,Descubrir,c,normal,128,16384,921724.0
51,Descubrir,c,normal,128,16384,922252.0
52,Descubrir,c,normal,128,16384,965984.0
53,Descubrir,c,normal,128,16384,922900.0
54,Descubrir,c,normal,128,16384,925568.0
55,Descubrir,c,normal,128,16384,965276.0
56,Descubrir,c,normal,128,16384,924236.0
57,Descubrir,c,normal,128,16384,922080.0
58,Descubrir,c,normal,128,16384,1150144.0
59,Descubrir,c,normal,128,16384,923000.0
60,Descubrir,c,normal,192,36864,2119948.0
61,Descubrir,c,normal,192,36864,9824012.0
62,Descubrir,c,normal,192,36864,2072816.0
63,Descubrir,c,normal,192,36864,2117836.0
64,Descubrir,c,normal,192,36864,2070960.0
65,Descubrir,c,normal,192,36864,2069988.0
66,Descubrir,c,normal,192,36864,2378544.0
67,Descubrir,c,normal,192,36864,2071412.0
68,Descubrir,c,normal,192,36864,2219372.0
69,Descubrir,c,normal,192,36864,2217888.0
70,Descubrir,c,normal,192,36864,2072000.0
71,Descubrir,c,normal,192,36864,2112048.0
72,Descubrir,c,normal,192,36864,2112172.0
73,Descubrir,c,normal,192,36864,3225176.0
74,Descubrir,c,normal,192,36864,2296056.0
75,Descubrir,c,normal,192,36864,2115044.0
76,Descubrir,c,normal,192,36864,2085064.0
77,Descubrir,c,normal,192,36864,2077812.0
78,Descubrir,c,normal,192,36864,2248284.0
79,Descubrir,c,normal,192,36864,2072992.0
80,Descubrir,c,normal,192,36864,2117544.0
81,Descubrir,c,normal,192,36864,2111252.0
82,Descubrir,c,normal,192,36864,2116028.0
83,Descubrir,c,normal,192,36864,2069812.0
84,Descubrir,c,normal,192,36864,2249192.0
85,Descubrir,c,normal,192,36864,2070284.0
86,Descubrir,c,normal,192,36864,2111160.0
87,Descubrir,c,normal,192,36864,2117988.0
88,Descubrir,c,normal,192,36864,2112424.0
89,Descubrir,c,normal,192,36864,2071732.0
90,Descubrir,c,normal,256,65536,3929684.0
91,Descubrir,c,normal,256,65536,3529808.0
92,Descubrir,c,normal,256,65536,3483441.0
93,Descubrir,c,normal,256,65536,3631007.0
94,Descubrir,c,normal,256,65536,3508847.0
95,Descubrir,c,normal,256,65536,3584378.0
96,Descubrir,c,normal,256,65536,4148385.0
97,Descubrir,c,normal,256,65536,3827534.0
98,Descubrir,c,normal,256,65536,3623973.0
99,Descubrir,c,normal,256,65536,3739388.0
100,Descubrir,c,normal,256,65536,3530982.0
101,Descubrir,c,normal,256,65536,3846265.0
102,Descubrir,c,normal,256,65536,3613611.0
103,Descubrir,c,normal,256,65536,3754917.0
104,Descubrir,c,normal,256,65536,3477496.0
105,Descubrir,c,normal,256,65536,4401292.0
106,Descubrir,c,normal,256,65536,4369408.0
107,Descubrir,c,normal,256,65536,3568210.0
108,Descubrir,c,normal,256,65536,11454963.0
109,Descubrir,c,normal,256,65536,3662473.0
110,Descubrir,c,normal,256,65536,3666413.0
111,Descubrir,c,normal,256,65536,3481547.0
112,Descubrir,c,normal,256,65536,3485035.0
113,Descubrir,c,normal,256,65536,3564483.0
114,Descubrir,c,normal,256,65536,3473945.0
115,Descubrir,c,normal,256,65536,3471699.0
116,Descubrir,c,normal,256,65536,4171819.0
117,Descubrir,c,normal,256,65536,3521004.0
118,Descubrir,c,normal,256,65536,3836062.0
119,Descubrir,c,normal,256,65536,3565933.0
120,Descubrir,c,normal,320,102400,5382939.0
121,Descubrir,c,normal,320,102400,5673757.0
122,Descubrir,c,normal,320,102400,5536817.0
123,Descubrir,c,normal,320,102400,5525589.0
124,Descubrir,c,normal,320,102400,5478697.0
125,Descubrir,c,normal,320,102400,5565427.0
126,Descubrir,c,normal,320,102400,6176967.0
127,Descubrir,c,normal,320,102400,5337339.0
128,Descubrir,c,normal,320,102400,5784276.0
129,Descubrir,c,normal,320,102400,5730540.0
130,Descubrir,c,normal,320,102400,5611505.0
131,Descubrir,c,normal,320,102400,5641592.0
132,Descubrir,c,normal,320,102400,5406731.0
133,Descubrir,c,normal,320,102400,5608257.0
134,Descubrir,c,normal,320,102400,6045703.0
135,Descubrir,c,normal,320,102400,5702964.0
136,Descubrir,c,normal,320,102400,16992128.0
137,Descubrir,c,normal,320,102400,13112176.0
138,Descubrir,c,normal,320,102400,20419372.0
139,Descubrir,c,normal,320,102400,5334932.0
140,Descubrir,c,normal,320,102400,5670518.0
141,Descubrir,c,normal,320,102400,5917887.0
142,Descubrir,c,normal,320,102400,5609029.0
143,Descubrir,c,normal,320,102400,5712805.0
144,Descubrir,c,normal,320,102400,5523159.0
145,Descubrir,c,normal,320,102400,5559308.0
146,Descubrir,c,normal,320,102400,5518764.0
147,Descubrir,c,normal,320,102400,5570208.0
148,Descubrir,c,normal,320,102400,5757325.0
149,Descubrir,c,normal,320,102400,6274785.0
150,Descubrir,c,normal,384,147456,10737310.0
151,Descubrir,c,normal,384,147456,10190528.0
152,Descubrir,c,normal,384,147456,8354872.0
153,Descubrir,c,normal,384,147456,8370052.0
154,Descubrir,c,normal,384,147456,8126796.0
155,Descubrir,c,normal,384,147456,7983142.0
156,Descubrir,c,normal,384,147456,7955331.0
157,Descubrir,c,normal,384,147456,8098917.0
158,Descubrir,c,normal,384,147456,8029363.0
159,Descubrir,c,normal,384,147456,8358252.0
160,Descubrir,c,normal,384,147456,8259014.0
