,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Zigzag,asm,normal,64,4096,28788.0
1,Zigzag,asm,normal,64,4096,28968.0
2,Zigzag,asm,normal,64,4096,28552.0
3,Zigzag,asm,normal,64,4096,28616.0
4,Zigzag,asm,normal,64,4096,28880.0
5,Zigzag,asm,normal,64,4096,28944.0
6,Zigzag,asm,normal,64,4096,28868.0
7,Zigzag,asm,normal,64,4096,29012.0
8,Zigzag,asm,normal,64,4096,28616.0
9,Zigzag,asm,normal,64,4096,29808.0
10,Zigzag,asm,normal,64,4096,28284.0
11,Zigzag,asm,normal,64,4096,28492.0
12,Zigzag,asm,normal,64,4096,28412.0
13,Zigzag,asm,normal,64,4096,28576.0
14,Zigzag,asm,normal,64,4096,28828.0
15,Zigzag,asm,normal,64,4096,28176.0
16,Zigzag,asm,normal,64,4096,28376.0
17,Zigzag,asm,normal,64,4096,28532.0
18,Zigzag,asm,normal,64,4096,28244.0
19,Zigzag,asm,normal,64,4096,29532.0
20,Zigzag,asm,normal,64,4096,28308.0
21,Zigzag,asm,normal,64,4096,27976.0
22,Zigzag,asm,normal,64,4096,28040.0
23,Zigzag,asm,normal,64,4096,28292.0
24,Zigzag,asm,normal,64,4096,28704.0
25,Zigzag,asm,normal,64,4096,28344.0
26,Zigzag,asm,normal,64,4096,28276.0
27,Zigzag,asm,normal,64,4096,29140.0
28,Zigzag,asm,normal,64,4096,28736.0
29,Zigzag,asm,normal,64,4096,29468.0
30,Zigzag,asm,normal,128,16384,113040.0
31,Zigzag,asm,normal,128,16384,112020.0
32,Zigzag,asm,normal,128,16384,118032.0
33,Zigzag,asm,normal,128,16384,111964.0
34,Zigzag,asm,normal,128,16384,111992.0
35,Zigzag,asm,normal,128,16384,111920.0
36,Zigzag,asm,normal,128,16384,111796.0
37,Zigzag,asm,normal,128,16384,111200.0
38,Zigzag,asm,normal,128,16384,111520.0
39,Zigzag,asm,normal,128,16384,169628.0
40,Zigzag,asm,normal,128,16384,111456.0
41,Zigzag,asm,normal,128,16384,112380.0
42,Zigzag,asm,normal,128,16384,111720.0
43,Zigzag,asm,normal,128,16384,111568.0
44,Zigzag,asm,normal,128,16384,111168.0
45,Zigzag,asm,normal,128,16384,111364.0
46,Zigzag,asm,normal,128,16384,117256.0
47,Zigzag,asm,normal,128,16384,111856.0
48,Zigzag,asm,normal,128,16384,111104.0
49,Zigzag,asm,normal,128,16384,111240.0
50,Zigzag,asm,normal,128,16384,111852.0
51,Zigzag,asm,normal,128,16384,111492.0
52,Zigzag,asm,normal,128,16384,111420.0
53,Zigzag,asm,normal,128,16384,111792.0
