,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Zigzag,asm,normal,64,4096,28544.0
1,Zigzag,asm,normal,64,4096,29104.0
2,Zigzag,asm,normal,64,4096,29416.0
3,Zigzag,asm,normal,64,4096,28916.0
4,Zigzag,asm,normal,64,4096,34660.0
5,Zigzag,asm,normal,64,4096,29780.0
6,Zigzag,asm,normal,64,4096,28888.0
7,Zigzag,asm,normal,64,4096,29316.0
8,Zigzag,asm,normal,64,4096,28936.0
9,Zigzag,asm,normal,64,4096,28796.0
10,Zigzag,asm,normal,64,4096,29472.0
11,Zigzag,asm,normal,64,4096,28820.0
12,Zigzag,asm,normal,64,4096,28656.0
13,Zigzag,asm,normal,64,4096,28728.0
14,Zigzag,asm,normal,64,4096,28896.0
15,Zigzag,asm,normal,64,4096,28300.0
16,Zigzag,asm,normal,64,4096,28076.0
17,Zigzag,asm,normal,64,4096,28048.0
18,Zigzag,asm,normal,64,4096,29248.0
19,Zigzag,asm,normal,64,4096,28996.0
20,Zigzag,asm,normal,64,4096,28820.0
21,Zigzag,asm,normal,64,4096,29168.0
22,Zigzag,asm,normal,64,4096,29980.0
23,Zigzag,asm,normal,64,4096,28700.0
24,Zigzag,asm,normal,64,4096,28772.0
25,Zigzag,asm,normal,64,4096,29196.0
26,Zigzag,asm,normal,64,4096,29452.0
27,Zigzag,asm,normal,64,4096,28696.0
28,Zigzag,asm,normal,64,4096,28128.0
29,Zigzag,asm,normal,64,4096,28128.0
30,Zigzag,asm,normal,128,16384,111868.0
31,Zigzag,asm,normal,128,16384,111496.0
32,Zigzag,asm,normal,128,16384,117712.0
33,Zigzag,asm,normal,128,16384,112148.0
34,Zigzag,asm,normal,128,16384,110844.0
35,Zigzag,asm,normal,128,16384,111516.0
36,Zigzag,asm,normal,128,16384,111616.0
37,Zigzag,asm,normal,128,16384,111412.0
38,Zigzag,asm,normal,128,16384,111392.0
39,Zigzag,asm,normal,128,16384,111768.0
40,Zigzag,asm,normal,128,16384,111688.0
41,Zigzag,asm,normal,128,16384,111620.0
42,Zigzag,asm,normal,128,16384,112224.0
43,Zigzag,asm,normal,128,16384,111052.0
44,Zigzag,asm,normal,128,16384,112452.0
45,Zigzag,asm,normal,128,16384,111384.0
46,Zigzag,asm,normal,128,16384,111544.0
47,Zigzag,asm,normal,128,16384,112648.0
48,Zigzag,asm,normal,128,16384,111584.0
49,Zigzag,asm,normal,128,16384,117316.0
50,Zigzag,asm,normal,128,16384,111496.0
51,Zigzag,asm,normal,128,16384,298220.0
