,Ocultar,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Ocultar,c,normal,64,4096,409508.0
1,Ocultar,c,normal,64,4096,530636.0
2,Ocultar,c,normal,64,4096,281376.0
3,Ocultar,c,normal,64,4096,281360.0
4,Ocultar,c,normal,64,4096,284144.0
5,Ocultar,c,normal,64,4096,283192.0
6,Ocultar,c,normal,64,4096,283144.0
7,Ocultar,c,normal,64,4096,281740.0
8,Ocultar,c,normal,64,4096,530400.0
9,Ocultar,c,normal,64,4096,282992.0
10,Ocultar,c,normal,64,4096,280928.0
11,Ocultar,c,normal,64,4096,282096.0
12,Ocultar,c,normal,64,4096,281112.0
13,Ocultar,c,normal,64,4096,281412.0
14,Ocultar,c,normal,64,4096,282784.0
15,Ocultar,c,normal,64,4096,282252.0
16,Ocultar,c,normal,64,4096,280852.0
17,Ocultar,c,normal,64,4096,280952.0
18,Ocultar,c,normal,64,4096,282548.0
19,Ocultar,c,normal,64,4096,283836.0
20,Ocultar,c,normal,64,4096,281208.0
21,Ocultar,c,normal,64,4096,284380.0
22,Ocultar,c,normal,64,4096,281668.0
23,Ocultar,c,normal,64,4096,280752.0
24,Ocultar,c,normal,64,4096,282000.0
25,Ocultar,c,normal,64,4096,281348.0
26,Ocultar,c,normal,64,4096,282136.0
27,Ocultar,c,normal,64,4096,284368.0
28,Ocultar,c,normal,64,4096,281812.0
29,Ocultar,c,normal,64,4096,280492.0
30,Ocultar,c,normal,128,16384,1120784.0
31,Ocultar,c,normal,128,16384,1117392.0
32,Ocultar,c,normal,128,16384,1118448.0
33,Ocultar,c,normal,128,16384,1119476.0
34,Ocultar,c,normal,128,16384,1120040.0
35,Ocultar,c,normal,128,16384,1117388.0
36,Ocultar,c,normal,128,16384,1161040.0
37,Ocultar,c,normal,128,16384,1120592.0
38,Ocultar,c,normal,128,16384,1247064.0
39,Ocultar,c,normal,128,16384,1375528.0
40,Ocultar,c,normal,128,16384,1119612.0
41,Ocultar,c,normal,128,16384,1118756.0
42,Ocultar,c,normal,128,16384,1120548.0
43,Ocultar,c,normal,128,16384,1119848.0
44,Ocultar,c,normal,128,16384,1161200.0
45,Ocultar,c,normal,128,16384,5429636.0
46,Ocultar,c,normal,128,16384,1122008.0
47,Ocultar,c,normal,128,16384,1118496.0
48,Ocultar,c,normal,128,16384,1121736.0
49,Ocultar,c,normal,128,16384,1120032.0
50,Ocultar,c,normal,128,16384,1119912.0
51,Ocultar,c,normal,128,16384,11256420.0
52,Ocultar,c,normal,128,16384,1124292.0
53,Ocultar,c,normal,128,16384,1312228.0
54,Ocultar,c,normal,128,16384,1163144.0
55,Ocultar,c,normal,128,16384,4654812.0
56,Ocultar,c,normal,128,16384,1246712.0
57,Ocultar,c,normal,128,16384,1121508.0
58,Ocultar,c,normal,128,16384,9000960.0
59,Ocultar,c,normal,128,16384,1117616.0
60,Ocultar,c,normal,192,36864,2659201.0
61,Ocultar,c,normal,192,36864,16479852.0
62,Ocultar,c,normal,192,36864,13534303.0
63,Ocultar,c,normal,192,36864,2667763.0
64,Ocultar,c,normal,192,36864,2323291.0
65,Ocultar,c,normal,192,36864,2433596.0
66,Ocultar,c,normal,192,36864,2389308.0
67,Ocultar,c,normal,192,36864,2419572.0
68,Ocultar,c,normal,192,36864,2798043.0
69,Ocultar,c,normal,192,36864,2453487.0
70,Ocultar,c,normal,192,36864,2362848.0
71,Ocultar,c,normal,192,36864,2660850.0
72,Ocultar,c,normal,192,36864,2409747.0
73,Ocultar,c,normal,192,36864,2687416.0
74,Ocultar,c,normal,192,36864,2640244.0
75,Ocultar,c,normal,192,36864,2389198.0
76,Ocultar,c,normal,192,36864,2815207.0
77,Ocultar,c,normal,192,36864,2559704.0
78,Ocultar,c,normal,192,36864,2681301.0
79,Ocultar,c,normal,192,36864,2545888.0
80,Ocultar,c,normal,192,36864,2753392.0
81,Ocultar,c,normal,192,36864,2383702.0
82,Ocultar,c,normal,192,36864,2381951.0
83,Ocultar,c,normal,192,36864,2380611.0
84,Ocultar,c,normal,192,36864,2334301.0
85,Ocultar,c,normal,192,36864,14595164.0
86,Ocultar,c,normal,192,36864,2309187.0
87,Ocultar,c,normal,192,36864,2407807.0
88,Ocultar,c,normal,192,36864,2419408.0
89,Ocultar,c,normal,192,36864,3001516.0
90,Ocultar,c,normal,256,65536,4223157.0
91,Ocultar,c,normal,256,65536,5523227.0
92,Ocultar,c,normal,256,65536,4630220.0
93,Ocultar,c,normal,256,65536,4333921.0
94,Ocultar,c,normal,256,65536,4456019.0
95,Ocultar,c,normal,256,65536,4379484.0
96,Ocultar,c,normal,256,65536,4317807.0
97,Ocultar,c,normal,256,65536,4285243.0
98,Ocultar,c,normal,256,65536,4180985.0
99,Ocultar,c,normal,256,65536,4317194.0
100,Ocultar,c,normal,256,65536,9705187.0
101,Ocultar,c,normal,256,65536,26088010.0
102,Ocultar,c,normal,256,65536,4185157.0
103,Ocultar,c,normal,256,65536,5992685.0
104,Ocultar,c,normal,256,65536,4413098.0
105,Ocultar,c,normal,256,65536,4285972.0
106,Ocultar,c,normal,256,65536,5303438.0
107,Ocultar,c,normal,256,65536,4239531.0
108,Ocultar,c,normal,256,65536,4663706.0
109,Ocultar,c,normal,256,65536,4351758.0
110,Ocultar,c,normal,256,65536,4506564.0
111,Ocultar,c,normal,256,65536,4594541.0
112,Ocultar,c,normal,256,65536,4290422.0
113,Ocultar,c,normal,256,65536,4222057.0
114,Ocultar,c,normal,256,65536,21993952.0
115,Ocultar,c,normal,256,65536,18245708.0
116,Ocultar,c,normal,256,65536,4233185.0
117,Ocultar,c,normal,256,65536,13751151.0
118,Ocultar,c,normal,256,65536,4459074.0
119,Ocultar,c,normal,256,65536,4169575.0
120,Ocultar,c,normal,320,102400,7181988.0
