,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Zigzag,c,normal,64,4096,207424.0
1,Zigzag,c,normal,64,4096,205844.0
2,Zigzag,c,normal,64,4096,207592.0
3,Zigzag,c,normal,64,4096,246980.0
4,Zigzag,c,normal,64,4096,207784.0
5,Zigzag,c,normal,64,4096,205852.0
6,Zigzag,c,normal,64,4096,205764.0
7,Zigzag,c,normal,64,4096,204660.0
8,Zigzag,c,normal,64,4096,201500.0
9,Zigzag,c,normal,64,4096,204356.0
10,Zigzag,c,normal,64,4096,202776.0
11,Zigzag,c,normal,64,4096,202736.0
12,Zigzag,c,normal,64,4096,248028.0
13,Zigzag,c,normal,64,4096,205620.0
14,Zigzag,c,normal,64,4096,201904.0
15,Zigzag,c,normal,64,4096,201012.0
16,Zigzag,c,normal,64,4096,202392.0
17,Zigzag,c,normal,64,4096,202420.0
18,Zigzag,c,normal,64,4096,202608.0
19,Zigzag,c,normal,64,4096,202304.0
20,Zigzag,c,normal,64,4096,201940.0
21,Zigzag,c,normal,64,4096,202840.0
22,Zigzag,c,normal,64,4096,202216.0
23,Zigzag,c,normal,64,4096,201716.0
24,Zigzag,c,normal,64,4096,202520.0
25,Zigzag,c,normal,64,4096,202088.0
26,Zigzag,c,normal,64,4096,201400.0
27,Zigzag,c,normal,64,4096,369704.0
28,Zigzag,c,normal,64,4096,206048.0
29,Zigzag,c,normal,64,4096,206056.0
30,Zigzag,c,normal,128,16384,838620.0
31,Zigzag,c,normal,128,16384,881568.0
32,Zigzag,c,normal,128,16384,839224.0
33,Zigzag,c,normal,128,16384,1397888.0
34,Zigzag,c,normal,128,16384,884088.0
35,Zigzag,c,normal,128,16384,841588.0
36,Zigzag,c,normal,128,16384,1029120.0
37,Zigzag,c,normal,128,16384,837700.0
38,Zigzag,c,normal,128,16384,881652.0
39,Zigzag,c,normal,128,16384,837536.0
40,Zigzag,c,normal,128,16384,838944.0
41,Zigzag,c,normal,128,16384,837164.0
42,Zigzag,c,normal,128,16384,838928.0
43,Zigzag,c,normal,128,16384,841632.0
44,Zigzag,c,normal,128,16384,834920.0
45,Zigzag,c,normal,128,16384,884888.0
46,Zigzag,c,normal,128,16384,843652.0
47,Zigzag,c,normal,128,16384,842616.0
48,Zigzag,c,normal,128,16384,1015924.0
49,Zigzag,c,normal,128,16384,882448.0
50,Zigzag,c,normal,128,16384,840912.0
51,Zigzag,c,normal,128,16384,840908.0
52,Zigzag,c,normal,128,16384,840136.0
53,Zigzag,c,normal,128,16384,889416.0
54,Zigzag,c,normal,128,16384,840324.0
55,Zigzag,c,normal,128,16384,839564.0
56,Zigzag,c,normal,128,16384,3315488.0
57,Zigzag,c,normal,128,16384,840248.0
58,Zigzag,c,normal,128,16384,839840.0
59,Zigzag,c,normal,128,16384,837492.0
60,Zigzag,c,normal,192,36864,2453168.0
61,Zigzag,c,normal,192,36864,2188400.0
62,Zigzag,c,normal,192,36864,1915116.0
63,Zigzag,c,normal,192,36864,2041072.0
64,Zigzag,c,normal,192,36864,2050768.0
65,Zigzag,c,normal,192,36864,1968888.0
66,Zigzag,c,normal,192,36864,1913888.0
67,Zigzag,c,normal,192,36864,1914260.0
68,Zigzag,c,normal,192,36864,9965784.0
69,Zigzag,c,normal,192,36864,1967332.0
70,Zigzag,c,normal,192,36864,1967884.0
71,Zigzag,c,normal,192,36864,1965232.0
72,Zigzag,c,normal,192,36864,1985568.0
73,Zigzag,c,normal,192,36864,1967760.0
74,Zigzag,c,normal,192,36864,1912252.0
75,Zigzag,c,normal,192,36864,1963344.0
76,Zigzag,c,normal,192,36864,1918312.0
77,Zigzag,c,normal,192,36864,1914984.0
78,Zigzag,c,normal,192,36864,24914732.0
79,Zigzag,c,normal,192,36864,1965676.0
80,Zigzag,c,normal,192,36864,1921428.0
81,Zigzag,c,normal,192,36864,1918548.0
82,Zigzag,c,normal,192,36864,1919440.0
83,Zigzag,c,normal,192,36864,1912812.0
84,Zigzag,c,normal,192,36864,1973216.0
85,Zigzag,c,normal,192,36864,1916464.0
86,Zigzag,c,normal,192,36864,2064512.0
87,Zigzag,c,normal,192,36864,2001276.0
88,Zigzag,c,normal,192,36864,1948408.0
89,Zigzag,c,normal,192,36864,1912400.0
90,Zigzag,c,normal,256,65536,3460106.0
91,Zigzag,c,normal,256,65536,3284278.0
92,Zigzag,c,normal,256,65536,3351225.0
93,Zigzag,c,normal,256,65536,3335097.0
94,Zigzag,c,normal,256,65536,3289020.0
95,Zigzag,c,normal,256,65536,3388625.0
96,Zigzag,c,normal,256,65536,3403954.0
97,Zigzag,c,normal,256,65536,3350626.0
98,Zigzag,c,normal,256,65536,3388782.0
99,Zigzag,c,normal,256,65536,3460255.0
100,Zigzag,c,normal,256,65536,11416175.0
101,Zigzag,c,normal,256,65536,8972654.0
102,Zigzag,c,normal,256,65536,3357519.0
103,Zigzag,c,normal,256,65536,4099887.0
104,Zigzag,c,normal,256,65536,20937272.0
