,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
0,Zigzag,asm,normal,64,4096,29268.0
1,Zigzag,asm,normal,64,4096,29112.0
2,Zigzag,asm,normal,64,4096,28676.0
3,Zigzag,asm,normal,64,4096,28816.0
4,Zigzag,asm,normal,64,4096,29024.0
5,Zigzag,asm,normal,64,4096,30828.0
6,Zigzag,asm,normal,64,4096,28676.0
7,Zigzag,asm,normal,64,4096,29552.0
8,Zigzag,asm,normal,64,4096,29012.0
9,Zigzag,asm,normal,64,4096,28888.0
10,Zigzag,asm,normal,64,4096,29404.0
11,Zigzag,asm,normal,64,4096,28892.0
12,Zigzag,asm,normal,64,4096,29116.0
13,Zigzag,asm,normal,64,4096,29492.0
14,Zigzag,asm,normal,64,4096,29212.0
15,Zigzag,asm,normal,64,4096,29276.0
16,Zigzag,asm,normal,64,4096,28776.0
17,Zigzag,asm,normal,64,4096,28676.0
18,Zigzag,asm,normal,64,4096,28452.0
19,Zigzag,asm,normal,64,4096,28732.0
20,Zigzag,asm,normal,64,4096,28864.0
21,Zigzag,asm,normal,64,4096,28896.0
22,Zigzag,asm,normal,64,4096,29044.0
23,Zigzag,asm,normal,64,4096,28612.0
24,Zigzag,asm,normal,64,4096,28580.0
25,Zigzag,asm,normal,64,4096,28508.0
26,Zigzag,asm,normal,64,4096,28848.0
27,Zigzag,asm,normal,64,4096,28452.0
28,Zigzag,asm,normal,64,4096,28280.0
29,Zigzag,asm,normal,64,4096,28428.0
30,Zigzag,asm,normal,128,16384,111568.0
31,Zigzag,asm,normal,128,16384,111572.0
32,Zigzag,asm,normal,128,16384,111828.0
33,Zigzag,asm,normal,128,16384,155068.0
34,Zigzag,asm,normal,128,16384,111268.0
35,Zigzag,asm,normal,128,16384,112056.0
36,Zigzag,asm,normal,128,16384,112864.0
37,Zigzag,asm,normal,128,16384,111568.0
38,Zigzag,asm,normal,128,16384,111712.0
39,Zigzag,asm,normal,128,16384,111332.0
40,Zigzag,asm,normal,128,16384,155172.0
41,Zigzag,asm,normal,128,16384,111488.0
42,Zigzag,asm,normal,128,16384,12143080.0
43,Zigzag,asm,normal,128,16384,112092.0
44,Zigzag,asm,normal,128,16384,112060.0
45,Zigzag,asm,normal,128,16384,113364.0
46,Zigzag,asm,normal,128,16384,111476.0
47,Zigzag,asm,normal,128,16384,112328.0
48,Zigzag,asm,normal,128,16384,114108.0
49,Zigzag,asm,normal,128,16384,115796.0
50,Zigzag,asm,normal,128,16384,111616.0
51,Zigzag,asm,normal,128,16384,111428.0
52,Zigzag,asm,normal,128,16384,109906.0
53,Zigzag,asm,normal,128,16384,105280.0
54,Zigzag,asm,normal,128,16384,99936.0
55,Zigzag,asm,normal,128,16384,99567.0
56,Zigzag,asm,normal,128,16384,105554.0
57,Zigzag,asm,normal,128,16384,100073.0
58,Zigzag,asm,normal,128,16384,106034.0
59,Zigzag,asm,normal,128,16384,99939.0
60,Zigzag,asm,normal,192,36864,210339.0
61,Zigzag,asm,normal,192,36864,211039.0
62,Zigzag,asm,normal,192,36864,228600.0
63,Zigzag,asm,normal,192,36864,217858.0
64,Zigzag,asm,normal,192,36864,222397.0
65,Zigzag,asm,normal,192,36864,211153.0
66,Zigzag,asm,normal,192,36864,211260.0
67,Zigzag,asm,normal,192,36864,224024.0
68,Zigzag,asm,normal,192,36864,261329.0
69,Zigzag,asm,normal,192,36864,210333.0
70,Zigzag,asm,normal,192,36864,264924.0
71,Zigzag,asm,normal,192,36864,223270.0
72,Zigzag,asm,normal,192,36864,222680.0
73,Zigzag,asm,normal,192,36864,210298.0
74,Zigzag,asm,normal,192,36864,251874.0
75,Zigzag,asm,normal,192,36864,221337.0
76,Zigzag,asm,normal,192,36864,221209.0
77,Zigzag,asm,normal,192,36864,227523.0
78,Zigzag,asm,normal,192,36864,210232.0
79,Zigzag,asm,normal,192,36864,209878.0
80,Zigzag,asm,normal,192,36864,221063.0
81,Zigzag,asm,normal,192,36864,210491.0
82,Zigzag,asm,normal,192,36864,210051.0
83,Zigzag,asm,normal,192,36864,209985.0
84,Zigzag,asm,normal,192,36864,221658.0
85,Zigzag,asm,normal,192,36864,209994.0
86,Zigzag,asm,normal,192,36864,210068.0
87,Zigzag,asm,normal,192,36864,221102.0
88,Zigzag,asm,normal,192,36864,221483.0
89,Zigzag,asm,normal,192,36864,210977.0
90,Zigzag,asm,normal,256,65536,421152.0
91,Zigzag,asm,normal,256,65536,370851.0
92,Zigzag,asm,normal,256,65536,428546.0
93,Zigzag,asm,normal,256,65536,403497.0
94,Zigzag,asm,normal,256,65536,392119.0
95,Zigzag,asm,normal,256,65536,372093.0
96,Zigzag,asm,normal,256,65536,372108.0
97,Zigzag,asm,normal,256,65536,372424.0
98,Zigzag,asm,normal,256,65536,371513.0
99,Zigzag,asm,normal,256,65536,392101.0
100,Zigzag,asm,normal,256,65536,419513.0
101,Zigzag,asm,normal,256,65536,12138626.0
102,Zigzag,asm,normal,256,65536,462409.0
103,Zigzag,asm,normal,256,65536,403781.0
104,Zigzag,asm,normal,256,65536,392581.0
105,Zigzag,asm,normal,256,65536,371733.0
106,Zigzag,asm,normal,256,65536,419127.0
107,Zigzag,asm,normal,256,65536,371244.0
108,Zigzag,asm,normal,256,65536,370440.0
109,Zigzag,asm,normal,256,65536,495758.0
110,Zigzag,asm,normal,256,65536,371262.0
111,Zigzag,asm,normal,256,65536,391708.0
112,Zigzag,asm,normal,256,65536,390940.0
113,Zigzag,asm,normal,256,65536,397466.0
114,Zigzag,asm,normal,256,65536,437455.0
115,Zigzag,asm,normal,256,65536,371822.0
116,Zigzag,asm,normal,256,65536,461536.0
117,Zigzag,asm,normal,256,65536,427935.0
118,Zigzag,asm,normal,256,65536,371700.0
119,Zigzag,asm,normal,256,65536,392137.0
120,Zigzag,asm,normal,320,102400,770031.0
121,Zigzag,asm,normal,320,102400,616170.0
122,Zigzag,asm,normal,320,102400,629466.0
123,Zigzag,asm,normal,320,102400,875552.0
124,Zigzag,asm,normal,320,102400,898834.0
125,Zigzag,asm,normal,320,102400,581402.0
126,Zigzag,asm,normal,320,102400,612473.0
127,Zigzag,asm,normal,320,102400,613117.0
128,Zigzag,asm,normal,320,102400,624016.0
129,Zigzag,asm,normal,320,102400,581962.0
130,Zigzag,asm,normal,320,102400,675942.0
131,Zigzag,asm,normal,320,102400,594538.0
132,Zigzag,asm,normal,320,102400,667566.0
133,Zigzag,asm,normal,320,102400,891292.0
134,Zigzag,asm,normal,320,102400,14784900.0
135,Zigzag,asm,normal,320,102400,581748.0
136,Zigzag,asm,normal,320,102400,838743.0
137,Zigzag,asm,normal,320,102400,581325.0
138,Zigzag,asm,normal,320,102400,580562.0
139,Zigzag,asm,normal,320,102400,613644.0
140,Zigzag,asm,normal,320,102400,612777.0
141,Zigzag,asm,normal,320,102400,581310.0
142,Zigzag,asm,normal,320,102400,612980.0
143,Zigzag,asm,normal,320,102400,612690.0
144,Zigzag,asm,normal,320,102400,683806.0
145,Zigzag,asm,normal,320,102400,581179.0
146,Zigzag,asm,normal,320,102400,612357.0
147,Zigzag,asm,normal,320,102400,612947.0
148,Zigzag,asm,normal,320,102400,612643.0
149,Zigzag,asm,normal,320,102400,581292.0
150,Zigzag,asm,normal,384,147456,834161.0
151,Zigzag,asm,normal,384,147456,836360.0
152,Zigzag,asm,normal,384,147456,913917.0
153,Zigzag,asm,normal,384,147456,1023073.0
154,Zigzag,asm,normal,384,147456,835740.0
155,Zigzag,asm,normal,384,147456,839431.0
156,Zigzag,asm,normal,384,147456,927124.0
157,Zigzag,asm,normal,384,147456,836566.0
158,Zigzag,asm,normal,384,147456,903368.0
159,Zigzag,asm,normal,384,147456,881196.0
160,Zigzag,asm,normal,384,147456,887442.0
161,Zigzag,asm,normal,384,147456,859993.0
162,Zigzag,asm,normal,384,147456,901136.0
163,Zigzag,asm,normal,384,147456,24375912.0
164,Zigzag,asm,normal,384,147456,21322044.0
165,Zigzag,asm,normal,384,147456,901286.0
166,Zigzag,asm,normal,384,147456,7294046.0
167,Zigzag,asm,normal,384,147456,980530.0
168,Zigzag,asm,normal,384,147456,15081390.0
169,Zigzag,asm,normal,384,147456,882712.0
170,Zigzag,asm,normal,384,147456,836464.0
171,Zigzag,asm,normal,384,147456,844775.0
172,Zigzag,asm,normal,384,147456,835264.0
173,Zigzag,asm,normal,384,147456,915498.0
174,Zigzag,asm,normal,384,147456,910327.0
175,Zigzag,asm,normal,384,147456,973995.0
